VendorID,Vendor,VendorCity,VendorStateProvince,VendorCountry
1055,Kansas Kitchen Games,Kansas City,Missouri,United States
1056,YeeHaw Games,Reno,Nevada,United States
1057,West Beach Games,West Palm Beach,Florida,United States
1058,Shuffle Off Games,Buffalo,New York,United States
1059,Columbia Games,Columbia,South Carolina,United States
1060,Austin Games,Austin,Texas,United States
1061,Gonzalez Games,Fort Myers,Florida,United States
1062,Pelican Games,Rhinelander,Wisconsin,United States
1063,Train Games,Brainerd,Minnesota,United States
1064,Ontario Games,Ontario,California,United States
1065,El Centro Games,El Centro,California,United States
1066,Kit & Carboodle Trains & Games,Cincinnati,Kentucky,United States
1067,Phat Games,Fresno,California,United States
1068,Louis' Games,St. Louis,Missouri,United States
1069,Boise Scale Model Shack,Boise,Idaho,United States
1070,White Plains Games,White Plains,New York,United States
1071,BBQ & Games,Albuquerque,New Mexico,United States
1072,Redding Games,Redding,California,United States
1073,Slow Gaming,San Luis Obispo,California,United States
1074,El Paso Model Shack,El Paso,Texas,United States
1075,Games of Divine Providence,Providence,Rhode Island,United States
1076,Wayne's World of Hobbies,Fort Wayne,Indiana,United States
1077,Hobby and RC Stuff,San Antonio,Texas,United States
1078,Monty's Games,Monterey,California,United States
1079,Jack's Games,Jacksonville,Florida,United States
1080,Sage's Games,Saginaw,Michigan,United States
1081,Ketchme Gametown,Ketchikan,Alaska,United States
1082,Shell Games,Shreveport,Louisiana,United States
1083,Odessa RC Emporium,Odessa,Texas,United States
1084,Nash's Games,Nashville,Tennessee,United States
1085,Ghostly Games,Casper,Wyoming,United States
1086,Middle Earth Games,Richmond,Virginia,United States
1087,Savoy Games,Savannah,Georgia,United States
1088,Baez Games,Norfolk,Virginia,United States
1089,Yokut Games,Bakersfield,California,United States
1090,Flubber Games,Lubbock,Texas,United States
1091,Boothill Games,Tucson,Arizona,United States
1092,Cadillac Games,Amarillo,Texas,United States
1093,Bill's Games,Pittsburgh,Pennsylvania,United States
1094,Green Games,Greensboro,North Carolina,United States
1095,Sue's Land O' Games,Sioux Falls,South Dakota,United States
1096,Little Games,Little Rock,Arkansas,United States
1097,Daylong Games,Dayton,Ohio,United States
1098,Forest Gaming,Aspen,Colorado,United States
1099,Minor Games,Minot,North Dakota,United States
1100,Christopher's Games,Columbus,Ohio,United States
1101,George's Games,St. George,Utah,United States
1102,Okster Games,Oklahoma City,Oklahoma,United States
1103,Yepper Games,Fargo,North Dakota,United States
1104,Playtime Game & Hobby Shop,Pago Pago,U.S. Territories,United States
1105,Dixon's Games,Vicksburg,Mississippi,United States
1106,Yumster Games,Yuma,Arizona,United States
1107,Speedster Games,Indianapolis,Indiana,United States
1108,Dolly's Games,Madison,Wisconsin,United States
1109,Playtime Game & Hobby Shop,Memphis,Tennessee,United States
1110,Rubber Soul Games,Akron,Ohio,United States
1111,Slugger Games,Louisville,Kentucky,United States
1112,Doodlebug Hobbies,Charleston,South Carolina,United States
1113,Mountain Games,Colorado Springs,Colorado,United States
1114,Vern's Games,Fayetteville,Arkansas,United States
1115,The Iron Chancellor,Bismarck,North Dakota,United States
1116,Beefy Games,Omaha,Nebraska,United States
1117,Chill Game Shack,Burlington,Vermont,United States
1118,Playtime Game & Hobby Shop,Medford,Oregon,United States
1119,Lost Keys Games,Key West,Florida,United States
1120,Fast Games and Hobbies,Cedar Rapids,Iowa,United States
1121,Desmond's Games,Des Moines,Iowa,United States
1122,Children of Boudicca Games,Corpus Christi,Texas,United States
1123,Musky Hobbies,Muskegon,Michigan,United States
1124,Tallullah's Games,Tallahassee,Florida,United States
1125,Batty Times Gaming,Carlsbad,California,United States
1126,Balsa Games,Tulsa,Oklahoma,United States
1127,Empire State RC and Games,Syracuse,New York,United States
1128,Lancelot Games,Lansing,Michigan,United States
1129,Genny's Games,Rochester,New York,United States
1130,Lex's Games,Lexington,Kentucky,United States
1131,Rodeo Hobbies & Toys,Laredo,Texas,United States
1132,Palmster games,Palm Springs,California,United States
1133,Red Games,Baton Rouge,Louisiana,United States
1134,Children of the Corn Toys,Brownsville,Texas,United States
1135,Games of Ham,Birmingham,Alabama,United States
1136,Mouse Hobbies & Toys,Mosinee,Wisconsin,United States
1137,Playtime Game & Hobby Shop,Lafayette,Louisiana,United States
1138,Making Games,Killeen,Texas,United States
1139,Silly Hobbies & Toys,Lawton,Oklahoma,United States
1140,Cola Games,Pensacola,Florida,United States
1141,King's Games,Kingsport,Tennessee,United States
1142,Bilbo's Game Hovel,Biloxi,Mississippi,United States
1143,Newbie Games,Newport News,Virginia,United States
1144,Golden Games,Eureka,California,United States
1145,Wow Games,Waco,Texas,United States
1146,Smitty's Games,Fort Smith,Arkansas,United States
1147,Portal of Games,Portland,Maine,United States
1148,Double Games,Duluth,Minnesota,United States
1149,Choo Choo Games,Chattanooga,Tennessee,United States
1150,Just Trains and Games,Manchester,New Hampshire,United States
1151,The Collegium,College Station,Texas,United States
1152,September Games,Augusta,Georgia,United States
1153,Great Nails Games,Knoxville,Tennessee,United States
1154,Tippy Games,Tyler,Texas,United States
1155,Playin' Peoria Games,Peoria,Illinois,United States
1156,Playtime Game & Hobby Shop,Harrisburg,Pennsylvania,United States
1157,Hobbies on a Mission ,Mission,Texas,United States
1158,Which Way RC & Trains,Wichita,Kansas,United States
1159,Red Games,Green Bay,Wisconsin,United States
1160,Growin' Games,Greer,South Carolina,United States
1161,Turkey Games,Eagle,Colorado,United States
1162,Big Lake Games,Grand Rapids,Michigan,United States
1163,Playtime Game & Hobby Shop,Charleston,West Virginia,United States
1164,Moving Games,Mobile,Alabama,United States
1165,Playtime Game & Hobby Shop,Albany,New York,United States
1166,Settle for Games,Sitka,Alaska,United States
1167,Yakitup Games,Yakutat,Alaska,United States
1168,Private Games,Idaho Falls,Idaho,United States
1169,Soda Games,Sarasota,Florida,United States
1170,Val's Games,Valparaiso,Florida,United States
1171,Rowin' Diversions,Roanoke,Virginia,United States
1172,Lincoln's Games,Springfield,Illinois,United States
1173,Playtime Game & Hobby Shop,Evansville,Indiana,United States
1174,Conjunction Games,Grand Junction,Colorado,United States
1175,Speaking Games,Spokane,Washington,United States
1176,Arlen Toys and Games,Harlingen,Texas,United States
1177,Sunny Games,Sun Valley,Idaho,United States
1178,Orange Games,Appleton,Wisconsin,United States
1179,Show Me Games,Springfield,Missouri,United States
1180,Angel's Games,San Angelo,Texas,United States
1181,United Games,Flint,Michigan,United States
1182,Woody's Games,Cedar City,Utah,United States
1183,Huntin-for-a-Game,Huntsville,Alabama,United States
1184,Betty's Games,Bethlehem,Pennsylvania,United States
1185,Mellow Games,Pocatello,Idaho,United States
1186,Double Trouble Games,Twin Falls,Idaho,United States
1187,Jarhead Game Store,Camp Lejeune,North Carolina,United States
1188,Long Games,Longview,Texas,United States
1189,Fay's Games,Fayetteville,North Carolina,United States
1190,Chico's Giant Games,Chico,California,United States
1191,Alex's Games,Alexandria,Louisiana,United States
1192,Playtime Game & Hobby Shop,Adak Island,Alaska,United States
1193,Myrtle's Games,Myrtle Beach,South Carolina,United States
1194,Bendable Games,South Bend,Indiana,United States
1195,Monty's RC and Trains,Montgomery,Alabama,United States
1196,Avalon Ville Games,Asheville,North Carolina,United States
1197,Daylong Toys and RC Shop,Daytona Beach,Florida,United States
1198,Flaggin Games,Flagstaff,Arizona,United States
1199,Eugene's Games,Eugene,Oregon,United States
1200,Santa's Toy Shoppe,Santa Maria,California,United States
1201,Moonshine Games,Crescent City,California,United States
1202,Wilma's Crafts and Hobbies,Wilmington,North Carolina,United States
1203,Jenny's Games,Rochester,Minnesota,United States
1204,Voldemort Games,Valdosta,Georgia,United States
1205,Aussie Games,Melbourne,Florida,United States
1206,Praline Games,Moline,Illinois,United States
1207,Bozo's Games,Bozeman,Montana,United States
1208,Great Trains & RC Planes,Great Falls,Montana,United States
1209,Bubbly Games,Champaign,Illinois,United States
1210,Slippin Games,Islip,New York,United States
1211,Red Games,Panama City,Florida,United States
1212,Web of Games,Charlotte Amalie,U.S. Virgin Islands,United States
1213,Salish Games,Missoula,Montana,United States
1214,Gainesville Games,Gainesville,Florida,United States
1215,Christopher's Games,Columbus,Georgia,United States
1216,Saucy Hobbies,Worcester,Massachusetts,United States
1217,Last Chance Games,Helena,Montana,United States
1218,Magic City Games,Billings,Montana,United States
1219,Bloomin' Games,Bloomington,Illinois,United States
1220,Kazoo Games,Kalamazoo,Michigan,United States
1221,Bowser's House of Fun,Lincoln,Nebraska,United States
1222,Beauty Games,Butte,Montana,United States
1223,Games People Play,Canton,Massachusetts,United States
1224,The Game Emporium,Marquette,Michigan,United States
1225,Razor's Edge Games,Gillette,Wyoming,United States
1226,Mufflers & Games,Monroe,Louisiana,United States
1227,Pony Games,Abilene,Texas,United States
1228,Santa's Games,Santa Fe,New Mexico,United States
1229,Al's Games,Albany,Georgia,United States
1230,Tiny's Games,Texarkana,Arkansas,United States
1231,Camp Games,Watertown,New York,United States
1232,The Collegium ,State College,Pennsylvania,United States
1233,Elmo's Games,Elmira,New York,United States
1234,Which Way Games,Wichita Falls,Texas,United States
1235,Eric's RC and Trains,Erie,Pennsylvania,United States
1236,Jack's Games,Jackson,Wyoming,United States
1237,Grizzly Games,Kodiak,Alaska,United States
1238,Area 51 Games,Roswell,New Mexico,United States
1239,Lawrence's Games,Elko,Nevada,United States
1240,Live Pony Hobbies,Deadhorse,Alaska,United States
1241,Great Ulysses Hobbies,Ithaca,New York,United States
1242,Beads & Games,Ft. Riley,Kansas,United States
1243,Freezin' Games,Williston,North Dakota,United States
1244,Giant Spoon Games,Grand Forks,North Dakota,United States
1245,Fragilistic Games,Kalispell,Montana,United States
1246,Web of Games,Charlottesville,Virginia,United States
1247,Bingo Games,Binghamton,New York,United States
1248,Shot and Pike Games,Lake Charles,Louisiana,United States
1249,Broom's Craft & Hobby Warehouse,Brunswick,Georgia,United States
1250,Napoleon's Games,Waterloo,Iowa,United States
1251,Morehead Games,New Berne,North Carolina,United States
1252,Playtime Game & Hobby Shop,Wilkes-Barre,Pennsylvania,United States
1253,Del's Games,Del Rio,Texas,United States
1254,Giant Games,Mammoth Lakes,California,United States
1255,Tabasco Hobby Emporium,Pasco,Washington,United States
1256,Bridge Games,Poughkeepsie,New York,United States
1257,Games Shoppe of Richmond,Redmond,Oregon,United States
1258,The Marquise of Montrose,Montrose,Colorado,United States
1259,Haystack Game Shack,Hayden,Colorado,United States
1260,Modest Hobby Merchants,Modesto,California,United States
1261,Sturdy Games,Christiansted,U.S. Virgin Islands,United States
1262,Playtime Game & Hobby Shop,Dothan,Alabama,United States
1263,Chris & Isabella's Games,Columbus,Mississippi,United States
1264,Slow Games Warehouse,Rapid City,South Dakota,United States
1265,Ringabell Games,Bellingham,Washington,United States
1266,Janice's Games,Joplin,Missouri,United States
1267,Star Games,La Crosse,Wisconsin,United States
1268,Incan Crafts and Hobbies,Peru,Massachusetts,United States
1269,Cowboy Games,Durango,Colorado,United States
1270,Playtime Game & Hobby Shop,Escanaba,Michigan,United States
1271,Holster Games,Gunnison,Colorado,United States
1272,Clay's Games,Eau Claire,Wisconsin,United States
1273,Small Beach Games,Grand Island,Nebraska,United States
1274,Dean's Games,Aberdeen,South Dakota,United States
1275,Paddy's Games,Paducah,Kentucky,United States
1276,Fleming Games,Sioux City,Iowa,United States
1277,Backyard Enthusiast,Garden City,Kansas,United States
1278,Trending Games,Trenton,New Jersey,United States
1279,John's Games,Hancock,Michigan,United States
1280,Salty Games,Sault Ste. Marie,Michigan,United States
1281,Hubba  Hubba Games,Hibbing,Minnesota,United States
1282,Bayside Games,North Bend,Oregon,United States
1283,Larry's Games,Laramie,Wyoming,United States
1284,Steel Valley Games,Iron Mountain,Michigan,United States
1285,Local Hobby Shop,International Falls,Minnesota,United States
1286,Saddle Up Games,Cody,Wyoming,United States
1287,Middle Earth Games,Bemidji,Minnesota,United States
1288,Christopher's Games,Columbia,Missouri,United States
1289,Yokel Games,Inyokern,California,United States
1290,Calvin's Playful Hobbies,Hobbs,New Mexico,United States
1291,Playtime Game & Hobby Shop,Lewiston,Idaho,United States
1292,Richard's Games,Branson,Missouri,United States
1293,Playtime Game & Hobby Shop,Aguadilla,Puerto Rico,United States
1294,Secrets of Ham Railroad & RC Shop,Guam,U.S. Territories,United States
1295,Playtime Game & Hobby Shop,Bangor,Maine,United States
1296,Rising Games,Phoenix,Arizona,United States
1297,Playtime Game & Hobby Shop,Rockford,Illinois,United States
1298,Oyster Games,Klamath Falls,Oregon,United States
1299,El Moro Toys and Hobby Shop ,Ponce,Puerto Rico,United States
1300,Woody's Games,Staunton,Virginia,United States
3100,Gwildor's Games,Parry Sound,Ontario,Canada
3101,Maple Leaves Hobbies & Toys,Toronto,Ontario,Canada
3102,Le Jeu d'Guerre Echoppe,Trois-Rivieres,Quebec,Canada
3103,Old MacDonald's Toy Shoppe,Calgary,Alberta,Canada
3104,Model Railroading & Hobbies,Edmonton,Alberta,Canada
3105,Royal Mounted Toys,Brampton,Ontario,Canada
3106,Kids of All Ages Toys,Vancouver,British Columbia,Canada
3107,Ye Olde Game Shoppe,Portage la Prairie,Manitoba,Canada
3108,Newfoundland Trains & Games,Moose Jaw,Saskatchewan,Canada
3109,Reserved Scotsman Hobbies,St. John,New Brunswick,Canada
3110,Games People Play,Stratford,Pr Edward's Island,Canada
3111,The Wee Game Shoppe,Winnepeg,Manitoba,Canada
3112,Territory Model & RR,Yellowknife,Northwest Territory,Canada
3113,Eh! Hobbies,Ottawa,Ontario,Canada
3114,Sunshine Games,Halifax,Nova Scotia,Canada
3115,Model Railroading & Hobbies,Whitehouse,Yukon,Canada
4100,Scattered Hobbies,Hamilton,Hamilton,Bermuda
4101,Tommy's Playland,New Providence,Nassau,The Bahamas
4102,Hobby y Modelo de Tren,Bogota,Cundinamarca,Colombia
4103,Orisha Games,Havana,Havana,Cuba
4104,Hobby en Modeltrein Winkel,Willemstad,Willemstad,Curacao
4105,Hobby y Modelo de Tren,Santo Domingo,Santo Domingo Este,Dominican Republic
4106,Passe-temps et Trains Miniatures,Port-au-Prince,Ouest,Haiti
4107,The Pirate Booty,Spanish Town,Middlesex,Jamaica
4108,Ecatepec Modelo de Tren,Ecatepec de Morelos,Mexico,Mexico
4109,Juegos Olmeca ,Veracruz,Veracruz de Ignacio de la Llave,Mexico
4110,Hobby y Modelo de Tren,Managua,Managua,Nicaragua
4111,Two Oceans Pastimes,Panama City,Panama,Panama
4112,Hobby en Modeltrein Winkel,Philipsburg,Sint Maarten,St Maarten
4113,Hobby y Modelo de Tren,Maracaibo,Zulia,Venezuela
4114,Passatempo e Jogo Importacao,Sao Paulo,Sao Paulo,Brazil
4115,Passatempo e Jogo Importacao,Sao Paulo,Sao Paulo,Brazil
4116,Casa de Pasatiempos y Juegos,Rio de Janeiro,Rio de Janeiro,Brazil
4117,Generales de Sillon,Rio de Janeiro,Rio de Janeiro,Brazil
4118,Passatempo e Jogo Importacao,Salvador,Bahia,Brazil
4119,San Martin Hobby Club,Buenos Aires,Buenos Aires,Argentina
4120,Juegos de Alfredo,Santa Fe de la Vera Cruz,Santa Fe,Argentina
4121,Tupac Amaru  Juegos,Trujillo,La Libertad,Peru
4122,Casa de Pasatiempos y Juegos,Santiago,Santiago,Chile
4123,Gratis y Fucil,Guayaquil,Guayas,Ecuador
4124,Casa de Pasatiempos y Juegos,Santa Cruz de la Sierra,Santa Cruz,Bolivia
4125,Casa de Pasatiempos y Juegos,Aregua,Central,Paraguay
4126,Videos de Montana y Juegos,Montevideo,Montevideo,Uruguay
4127,Goose Green Scale Modeler,Goose Green,Stanley,Falkland Islands
5001,EuroToys Emporium,Andorra la Vella,Andorra la Vella,Andorra
5002,Spa und Spiele,Graz,Steiermark,Austria
5003,Giochi di Minsk,Minsk,Minsk,Belarus
5004,Long Walls RC and Game Centre,Pireas,Salamis,Greece
5005,Anneaux du Temps,Chareleroi,Hainaut,Belgium
5006,Green Line Games,Nikosia,Nikosia,Cyprus
5007,EuroToys Emporium,Prague,Central Bohemia,Czech Republic
5008,Copenhagen Hobby Import,Copenhagen,Hovedstaden,Denmark
5009,Hobby Tarlas,Budapest,Central Hungary,Hungary
5010,RC Hobbyist,Tallinn,Harjumaa,Estonia
5011,Telegames Games,Helsinki,Southern Finland,Finland
5012,Tristan's Games Inc,Paris,Ile-de-France,France
5013,Passe-Temps,Nantes,Loire-Atlantique,France
5014,Centre du Hobby,Nancy,Meurthe-et-Moselle,France
5015,Spa und Spiele,Bremen,Bremen,Germany
5016,Spa und Spiele,Starnberg,Munich,Germany
5017,Spa und Spiele,Cologne,North Rhine-Westphalia,Germany
5018,Spa und Spiele,Berlin,Berlin,Germany
5019,EuroToys Emporium,Reykjavik,Greater Reykjavik,Iceland
5020,EuroToys Emporium,Dublin,Dublin,Ireland
5021,Torino Giochi,Turin,Turin,Italy
5022,Torino Giochi del Sud,Avellino,Avellino,Italy
5023,Torino Giochi di Roma,Rome,Rome,Italy
5024,EuroToys Emporium,Luxembourg City,Luxembourg,Luxembourg
5025,Falcon Giochi di Malta,Malta,Malta,Malta
5026,Klompen Ambachten en Hobby,Haarlem,North Holland,Netherlands
5027,EuroToys Emporium,Oslo,Oslo,Norway
5028,Pociagi i Gry,Warsaw,Masovia,Poland
5029,Pociagi i Gry,Gdansk,Pomerania,Poland
5030,The Hobbyist,Comibra,Beira Litoral,Portugal
5031,EuroToys Emporium,Bucharest,Bucharest,Romania
5032,Red Guard Games,Moscow,Moscow,Russia
5033,Tre Torre Giochi,San Marino Citta,San Marino,San Marino
5034,Montones de Juegos,Cadiz,Cadiz,Spain
5035,Pablo Modelismo,Madrid,Madrid,Spain
5036,Estamos Hablando de Juegos!,Bilbao,Biscay,Spain
5037,EuroToys Emporium,Stockholm,Stockholm,Sweden
5038,Giochi di Agnelli,Lugano,Ticino,Switzerland
5039,Topkapi Games,Istanbul,Istanbul,Turkey
5040,Foursquare Hobby Shops,Sevastopol,Crimea,Ukraine
5041,The Armchair General,Cambridge,Cambridgeshire,United Kingdom
5052,Red and White Rose Gaming,Lancaster,Lancashire,United Kingdom
5053,Shot & Pike Games,Birmingham,Warwickshire,United Kingdom
5054,The Toy Emporium,London,Greater London,United Kingdom
5055,Bannockburn Hobbies,Glasgow,Glasgow,United Kingdom
5056,Oryx Games,Isa Town,Al Wustaa,Bahrain
5057,Upper Kingdom Hobbies,Giza,Giza,Egypt
5058,House of Senemut Games,Cairo,Cairo,Egypt
5059,Swennett Games,Aswan,Aswan,Egypt
5060,House of Senemut Games,Alexandria,Alexandria,Egypt
5061,Oasis of Games,Tabriz,East Azerbaijan,Iran
5062,Ray's Games,Tehran,Tehran,Iran
5063,House of Maccabee Games,Haifa,Haifa,Israel
5064,Hobby Shop of Tel Aviv,Tel Aviv,Tel Aviv,Israel
5065,Arab Legion Workshop,Amman,Amman,Jordan
5069,Flying Carpet RC and Games,Muscat,Muscat,Oman
5070,Games of the Desert,Jeddah,Kekkah,Saudi Arabia
5072,Jasmine Games,Damascus,Rif Dimashq,Syria
5073,Lawrence's Hobby Shop,Abu Dhabi,Abu Dhabi,United Arab Emirates
7001,EuroToys Emporium,Yerevan,Yerevan,Armenia
7002,Geppetto's Toys,Melbourne,Victoria,Australia
7003,Devilish Diversions,Hobart,Tasmania,Australia
7004,Games Down Under,Sydney,New South Wales,Australia
7005,Wonderland Hobbies,Perth,Western Australia,Australia
7006,Golden Games,Beijing,Beijing,China (PRC)
7007,Golden Games,Tianjin,Tianjin,China (PRC)
7008,House of Diversions,Nanjing,Jiangsu,China (PRC)
7009,House of Diversions,Hangzhou,Zhejiang,China (PRC)
7010,House of Diversions,Haikou,Hainan,China (PRC)
7011,House of Diversions,Syanley,Hong Kong,China (PRC)
7012,House of Diversions,Xi'an,Shaanxi,China (PRC)
7013,Tbilisi RC and Trains,Tbilisi,Tbilisi,Georgia
7014,Lotus Games,Delhi,Delhi,India
7015,The Hobby Store,Hyderabad,Andhra Pradesh,India
7016,Ahimsa Games,Raipur,Chhattisgarh,India
7017,Udupi Games,Bangalore,Karnataka,India
7018,Tiger of Mysore Hobbies,Mysore,Karnataka,India
7019,Bapu's Hobbies,Puducherry,Puducherry,India
7020,Cinematic Games,Mumbai,Maharashtra,India
7021,Models and Games of Indonesia,Bali,Bali,Indonesia
7022,Mr. Sparkle's House of Fun,Tokyo,Tokyo,Japan
7023,Happy Fun Games,Sapporo,Hokkaido,Japan
7024,Happy Fun Games,Kyoto,Kyoto,Japan
7026,Happy Fun Games,Hiroshima,Hiroshima,Japan
7027,Island Gaming,Kuching,Sarawak,Malaysia
7028,Golden Games,Ulaanbaatar,Ulaanbaatar,Mongolia
7029,Top of the World Games,Kathmandu,Kathmandu,Nepal
7031,Mahmud's Games,Karachi,Sindh,Pakistan
7032,Mahmud's Games,Hyderbad,Sindh,Pakistan
7033,Kut-Kut Games,Manila,Merto Manila,Philippines
7034,Lion Toy Warehouse,Singapore,Singapore,Singapore
7035,Scale Modeler of Seoul,Seoul,Gyeonggi,South Korea
7039,Ham's House of Fantastic Fun,Hongseong,South Chungcheong,South Korea
7040,Happy Fun Games,Suwon,Gyeonggi,South Korea
7041,Falk's Toy Store,Colombo,Western,Sri Lanka
7042,New China Toys and Hobbies,Danshui,New Taipei City,Taiwan (ROC)
7043,ILA Games,Nha Trang,Khanh Hoa,Vietnam
7044,Kiwi Game Warehouse ,Christchurch,Canterbury,New Zealand
7045,Kiwi Game Warehouse,Auckland,Auckland,New Zealand
9100,Peers Games of Cape Town,Cape Town,Western Cape,South Africa
9101,Natal  Games of Pietermaritzburg,Pietermaritzburg,KwaZulu-Natal,South Africa
9102,Lightening Games of Johannesburg,Johannesburg,Gauteng,South Africa
9103,Sweepstake Games,Lagos,Lagos,Nigeria
9104,Laval's Joke and Toy Store,Oran,Oran,Algeria
9105,Rick's Toy Shop and Cafe,Casablanca,Grand Casablanca,Morocco
9106,RTL Boutique de Train Miniature,Tunis,Tunis,Tunisia
9107,Seminna-Werq Games Warehouse,Addis Ababa,Oromia,Ethiopia
9108,Pan-African RC and Toys,Accra,Greater Accra,Ghana
9109,Pan-African RC and Toys,Mombasa,Mombasa,Kenya
9110,Comics and Games,Dar es Salaam,Dar es Salaam,Tanzania
9111,Pan-African RC and Toys,Yaounde,Centre Region,Cameroon
9112,Mburo Games,Kampala,Kampala,Uganda
9113,Kahled's Amusements,Tripoli,Tripoli,Libya
9114,Passe-Temps,Yamoussoukro,Lacs,Cote d'Ivoire
9115,Pan-African RC and Toys,Ouagadougou,Nord Region,Burkina Faso
9116,Jeremy's House of Hobbies,Fort-Lamy,Chari-Baguirmi,Chad
9999,Frozen Fun General Store,Amundsen-Scott Station,Antarctica,Antarctica
